username,userid,profile_location,created_at,text,retweet_count,source,coordinates
.,1028548093803810816,"New York, USA",2023-01-23 02:53:01,The Lunar New Year wishes Hong Kong to soon become the Chinese capital.,0,Twitter for Android,
JudeKam⚾️ “Thėy Jude”,1406290736,Brooklyn,2023-01-23 02:52:15,"@FubonGuardians Happy Chinese New Year to the Guardians, especially Frankie and Bonnie.",0,Twitter for iPhone,
Amaury Vázquez,747942591518359552,,2023-01-23 02:49:50,@lilykasai Happy Chinese New Year wealth and health,0,Twitter for Android,
"Shauna Fung Yee, Founder @Down2EarthProds",97253584,Jamaica,2023-01-23 02:48:47,"Happy Chinese New Year! It's the ""Year Of The Rabbit.""

#ChineseNewYear2023 #YearOfTheRabbit #China https://t.co/Js16qqMZzg",0,Twitter for Android,
Marco Penta,18472424,NYC,2023-01-23 02:43:51,Happy New Year and gong xi fa cai to all my Chinese friends and family!,0,Twitter for iPhone,
Zachary Kussin,187990554,"New York, NY",2023-01-23 02:41:47,Everything Everywhere All At Once is a Chinese New Year movie 🧧,0,Twitter for iPhone,
Hugoballz.eth,1595595393626214400,"New York, NY",2023-01-23 02:39:30,"Happy Chinese Lunar New Year, from Buster no.28 hugoballz.nft year of the rabbit. Health, wealth, peace and prosper… https://t.co/omt7nT5D87",0,Twitter Web App,
BRONX POET,1325584042541117440,New York City,2023-01-23 02:38:42,"HAPPY CHINESE/ASIAN LUNAR NEW YEAR!
YEAR OF THE RABBIT.   2023/4721.
Sunday, January 22,2023.

Happy New Year!
Gung… https://t.co/nELBQgQRRh",1,Twitter Web App,
junbuns,75120808,NYC,2023-01-23 02:36:43,"I asked my mom, who was a red guard, if they said lunar or Chinese New Year during the great proletarian cultural r… https://t.co/Ta5VSkqbzI",0,Twitter for iPhone,
Muso Fan,116384341,"New York, NY",2023-01-23 02:31:36,Happy Lunar Chinese New Year #AIGC #MidjourneyAI https://t.co/2EGpN2aqy7,0,Instagram,
Grace Lee 李榮恩,1060033219578486786,"New York, NY",2023-01-23 02:30:56,The Chinese Consolidated Benevolent Association is part of the cultural fabric of Chinatown. The association has he… https://t.co/mklkQDKOYY,1,Twitter for iPhone,
KpopStarz,422070994,"New York, NY",2023-01-23 02:30:00,"During Chinese New Year, IVE Wonyoung and SNSD Seohyun gained flak online for using the term ""Seollal"" and ""Lunar N… https://t.co/FlUmvFK4Ir",1,Buffer,
zhang di,2191390427,"New York, USA",2023-01-23 02:29:07,"@ChuckAFlint I went to watch NBA games in other city in other Chinese new year games, I’ve seen Chinese officials c… https://t.co/bIuwJwOVpH",0,Twitter for iPhone,
The Philadelphia Inquirer,14221917,"Philadelphia, PA",2023-01-23 02:28:54,The Main Line Chinese Cultural Center’s annual Chinese New Year celebration bounced back to kick off the Year of th… https://t.co/kSagGW1wwl,0,SocialFlow,
BRONX POET,1325584042541117440,New York City,2023-01-23 02:28:19,"HAPPY CHINESE(ASIAN) LUNAR NEW YEAR
Year of the Rabbit. 2023/4721.
Sunday, January 22,2023
Happy New Year
Gung-Hay… https://t.co/C6nAYRhYHl",1,Twitter Web App,
Jroy,1584710884747870215,Southside Queens,2023-01-23 02:22:56,happy chinese new year to you too my brother 🥡🥢 https://t.co/3n7P6qGez6 https://t.co/oQRAHlCb9N,1,Twitter for iPhone,
Sky Reign.,35288734,Philly.,2023-01-23 02:21:54,Happy Chinese New Year #Culture https://t.co/Q2zHubWHoE,0,Twitter for iPhone,
John Fitzgerald Kennedy Page®,1170939664196354048,"New York, NY",2023-01-23 02:18:18,"⚠️🌹❤️‍🔥🐰Message for Asian women Chinese New Year year of the Playboy bunny🐰❤️‍🔥🌹⚠️
#chinesenewyear #LunarNewYear
https://t.co/dAn6ymi1h4",0,Twitter for Android,
Central Division Victim Services,2214638778,"Philadelphia, Pennsylvania",2023-01-23 02:14:09,Let the Chinese New Year celebrations begin!! #YearOfTheRabbit #ChineseNewYear2023 https://t.co/MvuVCG5xmF,0,Twitter for iPhone,
Anahi Viladrich,890303065798082560,"New York, NY",2023-01-23 02:10:41,"Despite everything that is going on, let's don't forget that the Chinese Lunar New Year marks a time reunion for ev… https://t.co/deUYXXGXkV",0,Twitter Web App,
One News Watch,1192791243396440067,"New York City, New York",2023-01-23 02:00:02,"In the news today: Chinese New Year
Traditional Chinese holiday

California gunman found dead in van after killing… https://t.co/4FZbMVLILF",0,One News Watch,
Natasha Phillips,3076735992,"Connecticut, USA",2023-01-23 01:57:42,Happy Chinese New Year! 🇨🇳 https://t.co/yTpDwzEVoN,0,Twitter Web App,
Andrea Galatà,173744043,"New York, NY",2023-01-23 01:53:17,Happy Chinese New Year!!! #2019memories #goodmemories #chinesenewyear #chinatour2019 #chinatour #chongqing https://t.co/4j5yH4VoMu,0,Instagram,
Union City Schools,1123257763386286081,"Union City, NJ",2023-01-23 01:48:37,Students in Mrs. Ashley’s class at ECC are all ready for the Chinese New Year! They learned all about the cultural… https://t.co/NqRRhvtW7E,0,Instagram,
michaelluongo,16662512,"New York, New York",2023-01-23 01:45:12,Wishing everyone a Happy Lunar New Year.  Chinese New Year.  Asian New Year.  And all variations of how to say it.… https://t.co/gkK0oYau1J,0,Twitter for Android,
Philly Daily News,14689197,"Philadelphia, PA, US",2023-01-23 01:42:08,"Daily News |  Despite Monterey Park shooting, annual Main Line Lunar New Year celebration was biggest yet https://t.co/xMQP6fCr1v",0,SocialFlow,
NY CONCEPT SIGN,1494508204016943107,"New York, NY",2023-01-23 01:42:02,Chinese new year in Macau。 https://t.co/aeNw9cv3Yk,0,Twitter for iPhone,
程益中,805582891484872704,"New York, USA",2023-01-23 01:41:50,@MichelleYeyy Happy Chinese New Year!,0,Twitter for iPhone,
Caiwei Chen,861860317357199361,"Manhattan, NY",2023-01-23 01:40:07,"Sharing some food that I made yesterday for the Tiger to the Bunny dinner and wishing everyone a happy, joyous Chin… https://t.co/ilcpTYkrTA",0,Twitter for iPhone,
Nicole Liu,544372991,NYC,2023-01-23 01:36:23,Happy Chinese New Year! Year of the 🐰 let’s go get it! 鸿兔大展🫶🏻,0,Twitter for iPhone,
#theartistjavier,725180931376443392,Jamaica,2023-01-23 01:34:47,Happy chinese new year!!! 🐇,0,Twitter Web App,
Court Reinland,25814979,New York,2023-01-23 01:29:36,@jk_rowling Happy Chinese New Year Ms. Rowling!,0,Twitter for iPhone,
Matthew Lawrence,69071847,"Bloomfield, NJ",2023-01-23 01:28:35,"Me- Sunday is the Chinese New Year - the Year of the Rabbit.

Student- So Bugs Bunny gets his own New Year?

Me -😐",2,Twitter for Android,
Court Reinland,25814979,New York,2023-01-23 01:28:15,Happy Chinese New Year! The year of the rabbit in the Chinese zodiac model of how energy flows and nature grows in… https://t.co/u3VQcr17RQ,0,Twitter for iPhone,
Kyle G Aka Kay Marvel #girldad,1271786109475917826,"New Jersey, USA",2023-01-23 01:25:49,Happy Chinese New Year! S/o to all my 🐇 https://t.co/6Ma6b2A43v,0,Twitter for Android,
NYC Shut It Down kolektiva.social/@nyc_shutitdown,3067080123,"New York, New York",2023-01-23 01:24:30,Happy Chinese lunar new year comrades! https://t.co/DCy1BGEut2,0,Twitter for iPhone,
Union City Schools,1123257763386286081,"Union City, NJ",2023-01-23 01:18:50,The sixth graders of RWS challenged themselves through a Chinese New Year-inspired math multiplication bingo activi… https://t.co/IrUrWk5DtL,0,Instagram,
Jenny Yang,1546191661373353984,New York,2023-01-23 01:17:27,Chinese New Year in New York https://t.co/BVsJHYrQr8,0,Twitter Web App,
Live from NY,1457094058657132552,"New York, NY",2023-01-23 01:16:37,Happy Chinese New Year! https://t.co/ZgsCjpov4j,2,Twitter for iPhone,
MGEMS Marketing,537515558,"Kendall Park, NJ",2023-01-23 01:00:49,"Happy Chinese New Year! Wishing everyone a prosperous, healthy and joyful year ahead. May the spirits of good fortu… https://t.co/D9FWpsuZcn",0,Loomly,
Sergeants Benevolent Association,1454446276175699969,New York City,2023-01-23 00:52:13,"Today, Jan. 22, begins Chinese New Year, a 16-day cultural “Spring Celebration” of new beginnings &amp; fresh starts. T… https://t.co/IutxXYeT1X",0,Twitter for iPhone,
TAPintoPiscataway,3430048785,"Piscataway, NJ",2023-01-23 00:50:07,Piscataway Students Celebrate the Chinese Lunar New Year https://t.co/zu9hsJ0nPK,0,Twitter Web App,
Xiaoyu Yang,360716191,"New York, NY",2023-01-23 00:44:54,"Happy Chinese New Year!! As a tradition, we always celebrate the event by overcooking and overeating😅😅😅 In the Year… https://t.co/QkfvjP2kxt",0,Twitter for iPhone,
Hurdy Gurdy Travel Podcast,1176999800639774722,"Bensalem, PA",2023-01-23 00:43:53,"Chinese New Year decorations at @AriaLV! 

#travel #vegas #lasvegas #chinesenewyear #lunarnewyear https://t.co/rRceAebOHL",1,Twitter for Android,
Completely done with foolery,416772964,"Pennsylvania, USA",2023-01-23 00:41:41,Beautiful. Happy New Year to my Chinese brothers and sisters https://t.co/5kJT8IebWO,0,Twitter for iPhone,
Godmother of Bunnies Sophie ❤️ BM,759396179423666176,"New York, USA",2023-01-23 00:34:31,@Scorbunnydream2 Here have a Chinese New Year bunny https://t.co/dYPeGiMpFy,0,Twitter for Android,
Subway Cinema,870431277463351296,"Manhattan, NY",2023-01-23 00:34:30,"恭喜發財!

Are you celebrating #LunarNewYear2023 🐇 with a movie?  Back in 2015, our own @grady_hendrix wrote about the… https://t.co/RCZNUnKr42",1,Twitter Web App,
Historical Society of Pennsylvania,89260600,"Philadelphia, PA",2023-01-23 00:33:00,"Happy Lunar New Year from HSP!

📸: Cover of dance card from Yu-Pin Chinese New Year’s Dance, January 25, 1947. https://t.co/08GQi4DhOK",1,Hootsuite Inc.,
